File Format = ASCII
Created by Nova, NT-MDT ltd., 31/05/2016 05:12:31 p. m.
File: C:\Users\David\Desktop\Listeria\Mirtala - Listeria - Control.mdt
1D Frame Type = NewCurves
State = Columns
ND = 1
NX = 2000
Scale X = 2.3024
Scale Data = 0.0015
Bias X = -800.0711
Bias Data = 0.0000E+0
Unit X = nm
Unit Data = nA
DataScaleNeeded = No
Start of Data : 
	X1Phys = 320321.3125	Y1Phys = 434408.0312
	FwSize1 = 1000	BkSize1 = 1000
X	Y1F	Y1B
97.8465	-0.3113	-0.3098
100.1489	-0.3113	-0.3098
102.4512	-0.3113	-0.3083
104.7536	-0.3113	-0.3083
107.0559	-0.3098	-0.3083
109.3583	-0.3098	-0.3083
111.6606	-0.3098	-0.3083
113.9630	-0.3098	-0.3067
116.2654	-0.3098	-0.3067
118.5677	-0.3098	-0.3067
120.8701	-0.3098	-0.3067
123.1724	-0.3098	-0.3067
125.4748	-0.3098	-0.3052
127.7771	-0.3083	-0.3052
130.0795	-0.3083	-0.3052
132.3818	-0.3083	-0.3037
134.6842	-0.3083	-0.3052
136.9865	-0.3083	-0.3052
139.2889	-0.3083	-0.3052
141.5912	-0.3083	-0.3037
143.8936	-0.3083	-0.3037
146.1959	-0.3083	-0.3052
148.4983	-0.3083	-0.3037
150.8006	-0.3083	-0.3052
153.1030	-0.3098	-0.3052
155.4053	-0.3083	-0.3052
157.7077	-0.3083	-0.3052
160.0101	-0.3083	-0.3052
162.3124	-0.3083	-0.3052
164.6148	-0.3083	-0.3052
166.9171	-0.3083	-0.3052
169.2195	-0.3083	-0.3052
171.5218	-0.3083	-0.3052
173.8242	-0.3083	-0.3052
176.1265	-0.3083	-0.3052
178.4289	-0.3083	-0.3052
180.7312	-0.3083	-0.3037
183.0336	-0.3083	-0.3037
185.3359	-0.3067	-0.3037
187.6383	-0.3067	-0.3037
189.9406	-0.3083	-0.3037
192.2430	-0.3083	-0.3037
194.5453	-0.3083	-0.3037
196.8477	-0.3083	-0.3037
199.1501	-0.3067	-0.3037
201.4524	-0.3067	-0.3037
203.7548	-0.3067	-0.3037
206.0571	-0.3067	-0.3037
208.3595	-0.3067	-0.3037
210.6618	-0.3067	-0.3037
212.9642	-0.3067	-0.3037
215.2665	-0.3067	-0.3037
217.5689	-0.3067	-0.3037
219.8712	-0.3067	-0.3037
222.1736	-0.3067	-0.3021
224.4759	-0.3067	-0.3037
226.7783	-0.3067	-0.3021
229.0806	-0.3067	-0.3021
231.3830	-0.3067	-0.3021
233.6853	-0.3052	-0.3021
235.9877	-0.3067	-0.3021
238.2901	-0.3067	-0.3021
240.5924	-0.3067	-0.3021
242.8948	-0.3052	-0.3021
245.1971	-0.3052	-0.3021
247.4995	-0.3052	-0.3021
249.8018	-0.3067	-0.3021
252.1042	-0.3052	-0.3021
254.4065	-0.3052	-0.3006
256.7089	-0.3052	-0.3006
259.0112	-0.3052	-0.3006
261.3136	-0.3052	-0.3006
263.6159	-0.3052	-0.3006
265.9183	-0.3037	-0.3006
268.2206	-0.3037	-0.3006
270.5230	-0.3037	-0.3006
272.8253	-0.3037	-0.2991
275.1277	-0.3037	-0.3006
277.4301	-0.3037	-0.2991
279.7324	-0.3037	-0.2991
282.0348	-0.3037	-0.2991
284.3371	-0.3037	-0.2991
286.6395	-0.3037	-0.2991
288.9418	-0.3021	-0.2976
291.2442	-0.3021	-0.2991
293.5465	-0.3021	-0.2976
295.8489	-0.3021	-0.2976
298.1512	-0.3021	-0.2976
300.4536	-0.3006	-0.2976
302.7559	-0.3006	-0.2976
305.0583	-0.3006	-0.2976
307.3606	-0.3021	-0.2976
309.6630	-0.3006	-0.2976
311.9653	-0.3006	-0.2976
314.2677	-0.3006	-0.2976
316.5701	-0.3006	-0.2976
318.8724	-0.3006	-0.2976
321.1748	-0.2991	-0.2976
323.4771	-0.3006	-0.2976
325.7795	-0.2991	-0.2976
328.0818	-0.2991	-0.2960
330.3842	-0.2991	-0.2960
332.6865	-0.2991	-0.2960
334.9889	-0.2991	-0.2960
337.2912	-0.2991	-0.2960
339.5936	-0.2976	-0.2960
341.8959	-0.2976	-0.2960
344.1983	-0.2976	-0.2960
346.5006	-0.2976	-0.2945
348.8030	-0.2976	-0.2960
351.1053	-0.2976	-0.2945
353.4077	-0.2960	-0.2960
355.7101	-0.2960	-0.2960
358.0124	-0.2960	-0.2960
360.3148	-0.2960	-0.2976
362.6171	-0.2960	-0.2945
